RAh,RAm,RAs,DE_sign,DEd,DEm,DEs,Type
15,50,58.78,-1,56,28,35.0,low
16,1,2.3,-1,60,44,17.0,low
16,5,45.8,1,25,51,45.0,low
16,3,54.0,-1,77,53,6.0,low
16,12,43.0,-1,52,25,23.0,low
16,19,55.1,-1,15,38,25.0,low
16,28,2.4,-1,49,11,25.0,low
16,32,16.8,-1,67,27,43.0,low
16,34,0.4,-1,47,23,39.0,low
16,36,28.0,-1,47,49,37.0,low
16,40,55.5,-1,53,45,5.0,low
16,45,47.7,-1,45,36,40.0,low
16,54,0.137,-1,39,50,44.9,low
16,57,49.8,1,35,20,33.0,low
17,2,6.3,-1,29,56,45.0,low
17,2,49.5,-1,48,47,23.0,low
17,5,44.5,-1,36,25,22.0,low
17,6,15.3,-1,43,2,10.0,low
17,6,34.6,1,23,58,18.0,low
17,8,14.6,-1,25,5,29.0,low
17,8,54.7,-1,44,6,2.0,low
17,12,23.0,-1,40,50,36.0,low
17,9,30.2,-1,26,39,27.0,low
17,10,12.3,-1,28,7,54.0,low
17,14,19.2,-1,34,2,58.0,low
17,12,34.0,-1,37,38,36.0,low
17,18,47.4,-1,32,10,40.0,low
17,19,36.9,-1,25,1,3.0,low
17,18,24.13,-1,40,29,30.4,low
17,23,38.0,-1,37,39,42.0,low
17,27,39.0,-1,35,44,4.0,low
17,27,33.2,-1,30,48,7.0,low
17,31,57.4,-1,33,50,5.0,low
17,31,44.2,-1,16,57,42.0,low
17,32,2.2,-1,24,44,44.0,low
17,33,32.0,-1,31,13,,low
17,33,24.1,-1,33,23,16.0,low
17,33,57.0,-1,22,2,7.0,low
17,34,13.0,-1,26,5,9.0,low
17,35,47.6,-1,30,28,56.0,low
17,36,2.0,-1,27,25,33.0,low
17,37,25.0,-1,29,10,48.0,low
17,38,16.0,-1,27,0,16.0,low
17,38,58.3,-1,44,27,0.0,low
17,38,34.0,-1,28,29,,low
17,39,33.0,-1,29,43,26.0,low
17,39,56.0,-1,30,59,,low
17,40,57.0,-1,28,18,36.0,low
17,42,37.0,-1,27,46,59.0,low
17,42,44.0,-1,30,30,51.0,low
17,43,47.0,-1,29,26,,low
17,43,54.7,-1,29,44,43.0,low
17,44,25.4,-1,29,0,45.0,low
17,44,49.0,-1,29,21,6.0,low
17,45,2.0,-1,32,13,38.0,low
17,45,1.0,-1,28,54,6.0,low
17,45,29.0,-1,32,41,39.0,low
17,45,26.6,-1,28,59,0.0,low
17,45,37.0,-1,29,27,,low
17,45,37.0,-1,29,1,7.0,low
17,45,40.7,-1,29,0,11.0,low
17,45,42.9,-1,28,46,53.0,low
17,45,52.9,-1,29,3,22.0,low
17,46,0.0,-1,28,54,49.0,low
17,46,4.9,-1,28,53,13.0,low
17,46,6.2,-1,29,31,6.0,low
17,46,9.7,-1,28,51,4.0,low
17,46,19.2,-1,28,44,7.0,low
17,46,19.5,-1,28,53,43.0,low
17,46,47.0,-1,28,53,41.0,low
17,47,25.7,-1,29,59,43.0,low
17,44,33.1,-1,28,44,29.0,low
17,47,25.9,-1,30,2,31.0,low
17,47,56.0,-1,26,33,49.0,low
17,48,13.4,-1,36,7,53.0,low
17,45,36.0,-1,29,1,34.0,low
17,48,56.0,-1,24,53,40.0,low
17,48,53.5,-1,20,22,2.0,low
17,49,50.6,-1,33,11,55.0,low
17,50,3.5,-1,32,25,43.0,low
17,50,12.7,-1,37,3,8.0,low
17,50,25.7,-1,21,25,21.0,low
17,50,45.5,-1,31,17,32.0,low
17,48,5.06,-1,28,28,25.8,low
17,48,53.4,-1,20,21,43.0,low
17,52,16.0,-1,28,30,22.0,low
17,50,24.0,-1,29,2,18.0,low
17,52,24.0,-1,31,37,42.0,low
17,58,40.0,-1,33,48,27.0,low
17,55,28.6,-1,32,28,39.0,low
18,1,8.2,-1,25,4,45.0,low
18,1,12.7,-1,25,44,26.0,low
18,1,32.3,-1,20,31,44.0,low
18,6,50.2,-1,24,35,15.0,low
18,6,51.0,-1,24,35,6.0,low
18,8,27.54,-1,36,58,44.3,low
18,10,44.5,-1,26,9,1.0,low
18,14,31.1,-1,17,9,26.0,low
18,15,12.0,-1,12,5,0.0,low
18,16,1.4,-1,14,2,11.0,low
18,19,21.48,-1,25,25,36.0,low
18,23,40.6,-1,30,21,41.0,low
18,25,46.8,-1,37,6,19.0,low
18,25,22.1,-1,0,0,44.0,low
18,29,27.0,-1,23,47,29.0,low
18,35,44.0,-1,32,58,55.0,low
18,39,57.5,1,5,2,9.0,low
18,49,17.1,-1,3,3,44.0,low
18,53,4.9,-1,8,42,20.0,low
18,56,39.0,1,5,19,48.0,low
18,58,41.58,1,22,39,29.4,low
19,8,27.0,1,0,10,8.0,low
19,11,16.0,1,0,35,6.0,low
19,15,17.0,1,10,58,6.0,low
19,18,48.0,-1,5,14,9.0,low
19,20,17.0,1,14,41,39.0,low
19,42,38.0,-1,3,54,,low
19,59,24.0,1,11,42,30.0,low
20,2,49.6,1,25,14,12.0,low
20,12,37.8,1,38,11,1.1,low
20,24,3.8,1,33,52,4.0,low
21,23,14.54,-1,5,47,52.9,low
21,29,58.3,1,12,10,3.0,low
21,31,26.2,1,47,17,24.0,low
21,44,41.2,1,38,19,18.0,low
23,20,34.1,1,62,17,33.0,low
